"","long","lat","freq","hour"
"1751",121.506395714,31.1887533214,20680,7
"1752",121.517319143,31.1887533214,14722,7
"1753",121.528242571,31.1887533214,9516,7
"1754",121.539166,31.1887533214,5608,7
"1755",121.550089429,31.1887533214,11280,7
"1756",121.561012857,31.1887533214,4501,7
"1757",121.571936286,31.1887533214,2457,7
"1758",121.582859714,31.1887533214,1746,7
"1759",121.593783143,31.1887533214,2746,7
"1760",121.604706571,31.1887533214,491,7
"1761",121.61563,31.1887533214,603,7
"1762",121.626553429,31.1887533214,3815,7
"1763",121.637476857,31.1887533214,3081,7
"1764",121.648400286,31.1887533214,2019,7
"1765",121.353467714,31.1977496786,3241,7
"1766",121.364391143,31.1977496786,8433,7
"1767",121.375314571,31.1977496786,8247,7
"1768",121.386238,31.1977496786,18334,7
"1769",121.397161429,31.1977496786,16460,7
"1770",121.408084857,31.1977496786,17516,7
"1771",121.419008286,31.1977496786,25679,7
"1772",121.429931714,31.1977496786,29416,7
"1773",121.440855143,31.1977496786,26613,7
"1774",121.451778571,31.1977496786,35616,7
"1775",121.462702,31.1977496786,29288,7
"1776",121.473625429,31.1977496786,21252,7
"1777",121.484548857,31.1977496786,7628,7
"1778",121.495472286,31.1977496786,3140,7
"1779",121.506395714,31.1977496786,20755,7
"1780",121.517319143,31.1977496786,21278,7
"1781",121.528242571,31.1977496786,7584,7
"1782",121.539166,31.1977496786,3783,7
"1783",121.550089429,31.1977496786,9553,7
"1784",121.561012857,31.1977496786,7443,7
"1785",121.571936286,31.1977496786,7060,7
"1786",121.582859714,31.1977496786,5193,7
"1787",121.593783143,31.1977496786,3695,7
"1788",121.604706571,31.1977496786,2267,7
"1789",121.61563,31.1977496786,2512,7
"1790",121.626553429,31.1977496786,5314,7
"1791",121.637476857,31.1977496786,2982,7
"1792",121.648400286,31.1977496786,1420,7
"1793",121.353467714,31.2067460357,7752,7
"1794",121.364391143,31.2067460357,11922,7
"1795",121.375314571,31.2067460357,12106,7
"1796",121.386238,31.2067460357,24208,7
"1797",121.397161429,31.2067460357,28514,7
"1798",121.408084857,31.2067460357,30165,7
"1799",121.419008286,31.2067460357,30993,7
"1800",121.429931714,31.2067460357,24290,7
"1801",121.440855143,31.2067460357,15218,7
"1802",121.451778571,31.2067460357,24993,7
"1803",121.462702,31.2067460357,32968,7
"1804",121.473625429,31.2067460357,37002,7
"1805",121.484548857,31.2067460357,35627,7
"1806",121.495472286,31.2067460357,15832,7
"1807",121.506395714,31.2067460357,13377,7
"1808",121.517319143,31.2067460357,13672,7
"1809",121.528242571,31.2067460357,5693,7
"1810",121.539166,31.2067460357,7589,7
"1811",121.550089429,31.2067460357,12449,7
"1812",121.561012857,31.2067460357,9855,7
"1813",121.571936286,31.2067460357,6255,7
"1814",121.582859714,31.2067460357,6589,7
"1815",121.593783143,31.2067460357,3532,7
"1816",121.604706571,31.2067460357,5269,7
"1817",121.61563,31.2067460357,7349,7
"1818",121.626553429,31.2067460357,4367,7
"1819",121.637476857,31.2067460357,2462,7
"1820",121.648400286,31.2067460357,2552,7
"1821",121.353467714,31.2157423929,17531,7
"1822",121.364391143,31.2157423929,23157,7
"1823",121.375314571,31.2157423929,21077,7
"1824",121.386238,31.2157423929,25954,7
"1825",121.397161429,31.2157423929,27951,7
"1826",121.408084857,31.2157423929,28379,7
"1827",121.419008286,31.2157423929,28644,7
"1828",121.429931714,31.2157423929,22009,7
"1829",121.440855143,31.2157423929,21087,7
"1830",121.451778571,31.2157423929,24782,7
"1831",121.462702,31.2157423929,28046,7
"1832",121.473625429,31.2157423929,38707,7
"1833",121.484548857,31.2157423929,41318,7
"1834",121.495472286,31.2157423929,23127,7
"1835",121.506395714,31.2157423929,7663,7
"1836",121.517319143,31.2157423929,13243,7
"1837",121.528242571,31.2157423929,7535,7
"1838",121.539166,31.2157423929,4662,7
"1839",121.550089429,31.2157423929,4295,7
"1840",121.561012857,31.2157423929,1383,7
"1841",121.571936286,31.2157423929,1848,7
"1842",121.582859714,31.2157423929,2172,7
"1843",121.593783143,31.2157423929,3053,7
"1844",121.604706571,31.2157423929,2458,7
"1845",121.61563,31.2157423929,5913,7
"1846",121.626553429,31.2157423929,3722,7
"1847",121.637476857,31.2157423929,2636,7
"1848",121.648400286,31.2157423929,1846,7
"1849",121.353467714,31.22473875,12658,7
"1850",121.364391143,31.22473875,13354,7
"1851",121.375314571,31.22473875,11269,7
"1852",121.386238,31.22473875,5787,7
"1853",121.397161429,31.22473875,9175,7
"1854",121.408084857,31.22473875,24539,7
"1855",121.419008286,31.22473875,27705,7
"1856",121.429931714,31.22473875,26858,7
"1857",121.440855143,31.22473875,31555,7
"1858",121.451778571,31.22473875,26745,7
"1859",121.462702,31.22473875,27931,7
"1860",121.473625429,31.22473875,42272,7
"1861",121.484548857,31.22473875,33247,7
"1862",121.495472286,31.22473875,24956,7
"1863",121.506395714,31.22473875,8312,7
"1864",121.517319143,31.22473875,13808,7
"1865",121.528242571,31.22473875,14518,7
"1866",121.539166,31.22473875,7196,7
"1867",121.550089429,31.22473875,4727,7
"1868",121.561012857,31.22473875,4248,7
"1869",121.571936286,31.22473875,1606,7
"1870",121.582859714,31.22473875,256,7
"1871",121.593783143,31.22473875,571,7
"1872",121.604706571,31.22473875,2237,7
"1873",121.61563,31.22473875,1565,7
"1874",121.626553429,31.22473875,1474,7
"1875",121.637476857,31.22473875,1384,7
"1876",121.648400286,31.22473875,1764,7
"1877",121.353467714,31.2337351071,6013,7
"1878",121.364391143,31.2337351071,6291,7
"1879",121.375314571,31.2337351071,16524,7
"1880",121.386238,31.2337351071,17377,7
"1881",121.397161429,31.2337351071,30938,7
"1882",121.408084857,31.2337351071,22761,7
"1883",121.419008286,31.2337351071,23905,7
"1884",121.429931714,31.2337351071,28074,7
"1885",121.440855143,31.2337351071,29467,7
"1886",121.451778571,31.2337351071,26810,7
"1887",121.462702,31.2337351071,31797,7
"1888",121.473625429,31.2337351071,40437,7
"1889",121.484548857,31.2337351071,33977,7
"1890",121.495472286,31.2337351071,12311,7
"1891",121.506395714,31.2337351071,12653,7
"1892",121.517319143,31.2337351071,16811,7
"1893",121.528242571,31.2337351071,15530,7
"1894",121.539166,31.2337351071,12452,7
"1895",121.550089429,31.2337351071,5429,7
"1896",121.561012857,31.2337351071,6419,7
"1897",121.571936286,31.2337351071,2598,7
