"","X","x","y","value","hour"
"124",124,121.376154834923,31.1534599203538,12352.6153787146,5
"125",125,121.383717208564,31.1534599203538,12428.7692220281,5
"126",126,121.391279582205,31.1534599203538,10764.5385636585,5
"127",127,121.398841955846,31.1534599203538,9648.15381945526,5
"128",128,121.406404329487,31.1534599203538,9994.99999211781,5
"129",129,121.413966703128,31.1534599203538,10859.9999609156,5
"130",130,121.421529076769,31.1534599203538,11319.0000405517,5
"131",131,121.42909145041,31.1534599203538,10343.5384298071,5
"132",132,121.436653824051,31.1534599203538,6951.3077446226,5
"133",133,121.444216197692,31.1534599203538,5526.76922460846,5
"134",134,121.451778571333,31.1534599203538,5658.99983988595,5
"135",135,121.459340944974,31.1534599203538,2043.07689782225,5
"136",136,121.466903318615,31.1534599203538,948.46150816366,5
"137",137,121.474465692256,31.1534599203538,2258.46131377115,5
"138",138,121.482028065897,31.1534599203538,6165.84614112906,5
"139",139,121.489590439538,31.1534599203538,9211.99997451899,5
"140",140,121.497152813179,31.1534599203538,10967.6923609616,5
"141",141,121.504715186821,31.1534599203538,9054.84610334354,5
"142",142,121.512277560462,31.1534599203538,7971.92307186467,5
"143",143,121.519839934103,31.1534599203538,7150.76922297745,5
"144",144,121.527402307744,31.1534599203538,5537.69223298072,5
"145",145,121.534964681385,31.1534599203538,3499.61531613226,5
"146",146,121.542527055026,31.1534599203538,1653.15385412283,5
"147",147,121.550089428667,31.1534599203538,722.615359948221,5
"148",148,121.557651802308,31.1534599203538,1716.76923742261,5
"149",149,121.565214175949,31.1534599203538,2365.30769542984,5
"150",150,121.57277654959,31.1534599203538,2697.07692508294,5
"151",151,121.580338923231,31.1534599203538,2373.769215236,5
"152",152,121.587901296872,31.1534599203538,1453.1538181597,5
"153",153,121.595463670513,31.1534599203538,811.769233051828,5
"154",154,121.603026044154,31.1534599203538,863.000005061932,5
"155",155,121.610588417795,31.1534599203538,820.230765756779,5
"156",156,121.618150791436,31.1534599203538,761.69230774722,5
"157",157,121.625713165077,31.1534599203538,715.307694092624,5
"158",158,121.633275538718,31.1534599203538,487.999993554266,5
"159",159,121.640837912359,31.1534599203538,347.153842773198,5
"160",160,121.648400286,31.1534599203538,266.692307143426,5
"161",161,121.353467714,31.1596881676051,10393.3846037784,5
"162",162,121.361030087641,31.1596881676051,11093.3075942895,5
"163",163,121.368592461282,31.1596881676051,12873.1537859445,5
"164",164,121.376154834923,31.1596881676051,15369.0000077586,5
"165",165,121.383717208564,31.1596881676051,12140.6154528163,5
"166",166,121.391279582205,31.1596881676051,10213.2307591441,5
"167",167,121.398841955846,31.1596881676051,10458.8461308187,5
"168",168,121.406404329487,31.1596881676051,9781.69232063902,5
"169",169,121.413966703128,31.1596881676051,10514.9999596346,5
"170",170,121.421529076769,31.1596881676051,10969.3846543531,5
"171",171,121.42909145041,31.1596881676051,8247.92303570197,5
"172",172,121.436653824051,31.1596881676051,6814.92307918346,5
"173",173,121.444216197692,31.1596881676051,6831.76924028779,5
"174",174,121.451778571333,31.1596881676051,5955.99984123088,5
"175",175,121.459340944974,31.1596881676051,2080.23074187549,5
"176",176,121.466903318615,31.1596881676051,828.923049633048,5
"177",177,121.474465692256,31.1596881676051,2045.23054357479,5
"178",178,121.482028065897,31.1596881676051,5354.92306426314,5
"179",179,121.489590439538,31.1596881676051,8370.84612049925,5
"180",180,121.497152813179,31.1596881676051,10407.6154353484,5
"181",181,121.504715186821,31.1596881676051,8004.92300780186,5
"182",182,121.512277560462,31.1596881676051,7772.46155346023,5
"183",183,121.519839934103,31.1596881676051,8090.92307542213,5
"184",184,121.527402307744,31.1596881676051,6850.99993123558,5
"185",185,121.534964681385,31.1596881676051,3979.07681164848,5
"186",186,121.542527055026,31.1596881676051,1641.99999962074,5
"187",187,121.550089428667,31.1596881676051,2123.15382782886,5
"188",188,121.557651802308,31.1596881676051,2919.76924014079,5
"189",189,121.565214175949,31.1596881676051,3438.15385207026,5
"190",190,121.57277654959,31.1596881676051,3660.07692944378,5
"191",191,121.580338923231,31.1596881676051,1830.69221374624,5
"192",192,121.587901296872,31.1596881676051,613.384597398959,5
"193",193,121.595463670513,31.1596881676051,239.230768920692,5
"194",194,121.603026044154,31.1596881676051,387.076933509251,5
"195",195,121.610588417795,31.1596881676051,411.153847518374,5
"196",196,121.618150791436,31.1596881676051,421.076926327685,5
