x,y,value,hour
121.4139667,31.16591641,20050.951,9
121.4215291,31.16591641,24688.17674,9
121.4290915,31.16591641,27844.04674,9
121.4366538,31.16591641,21627.09355,9
121.4442162,31.16591641,13909.64711,9
121.4517786,31.16591641,8233.911288,9
121.4593409,31.16591641,2763.151449,9
121.4669033,31.16591641,1917.306082,9
121.4744657,31.16591641,5589.661826,9
121.4820281,31.16591641,9843.962278,9
121.4895904,31.16591641,15991.29124,9
121.4971528,31.16591641,18157.16061,9
121.5047152,31.16591641,11765.66869,9
121.5122776,31.16591641,10673.82922,9
121.5198399,31.16591641,11154.71346,9
121.5274023,31.16591641,9307.27978,9
121.5349647,31.16591641,5449.691105,9
121.5425271,31.16591641,2805.557197,9
121.5500894,31.16591641,2699.913779,9
121.5576518,31.16591641,4404.101533,9
121.5652142,31.16591641,4591.889377,9
121.5727765,31.16591641,3188.421801,9
121.5803389,31.16591641,1609.111645,9
121.5879013,31.16591641,1028.994081,9
121.5954637,31.16591641,836.318747,9
121.603026,31.16591641,551.1969398,9
121.6105884,31.16591641,312.7924422,9
121.6181508,31.16591641,507.3680839,9
121.6257132,31.16591641,1157.345157,9
121.6332755,31.16591641,1312.98366,9
121.6408379,31.16591641,1258.848143,9
121.6484003,31.16591641,857.5394141,9
121.3534677,31.17214466,12319.39796,9
121.3610301,31.17214466,14226.72371,9
121.3685925,31.17214466,15461.70397,9
121.3761548,31.17214466,17634.21088,9
121.3837172,31.17214466,23629.42536,9
121.3912796,31.17214466,28807.05336,9
121.398842,31.17214466,30251.48662,9
121.4064043,31.17214466,20572.46717,9
121.4139667,31.17214466,21678.39103,9
121.4215291,31.17214466,27596.77286,9
121.4290915,31.17214466,35570.07557,9
121.4366538,31.17214466,27120.8926,9
121.4442162,31.17214466,18124.18857,9
121.4517786,31.17214466,9500.281118,9
121.4593409,31.17214466,2903.433978,9
121.4669033,31.17214466,2133.603252,9
121.4744657,31.17214466,7341.161747,9
121.4820281,31.17214466,13861.0058,9
121.4895904,31.17214466,20097.54065,9
121.4971528,31.17214466,22236.20562,9
121.5047152,31.17214466,14508.65743,9
121.5122776,31.17214466,12335.08663,9
121.5198399,31.17214466,10610.18396,9
121.5274023,31.17214466,8610.951407,9
121.5349647,31.17214466,5540.767454,9
121.5425271,31.17214466,3588.259077,9
121.5500894,31.17214466,2143.627455,9
121.5576518,31.17214466,3110.502819,9
121.5652142,31.17214466,2803.558243,9
121.5727765,31.17214466,1519.520574,9
121.5803389,31.17214466,1017.648953,9
121.5879013,31.17214466,1289.477222,9
121.5954637,31.17214466,1794.87319,9
121.603026,31.17214466,1006.519826,9
121.6105884,31.17214466,468.2258526,9
121.6181508,31.17214466,665.9468253,9
121.6257132,31.17214466,1610.658366,9
121.6332755,31.17214466,1639.145754,9
121.6408379,31.17214466,1222.216605,9
121.6484003,31.17214466,647.890254,9
121.3534677,31.17837291,17784.92376,9
121.3610301,31.17837291,18969.73875,9
121.3685925,31.17837291,18264.57181,9
121.3761548,31.17837291,15852.70714,9
121.3837172,31.17837291,18951.95134,9
121.3912796,31.17837291,21408.35536,9
121.398842,31.17837291,20238.03798,9
121.4064043,31.17837291,18748.58075,9
121.4139667,31.17837291,23646.96922,9
121.4215291,31.17837291,29478.79954,9
121.4290915,31.17837291,25955.32083,9
121.4366538,31.17837291,26994.87285,9
121.4442162,31.17837291,20437.18288,9
121.4517786,31.17837291,9022.672743,9
121.4593409,31.17837291,3319.511972,9
121.4669033,31.17837291,1317.325584,9
121.4744657,31.17837291,5173.544961,9
121.4820281,31.17837291,16199.60031,9
121.4895904,31.17837291,20244.40987,9
121.4971528,31.17837291,20341.79057,9
121.5047152,31.17837291,19135.61796,9
121.5122776,31.17837291,16470.63506,9
121.5198399,31.17837291,13025.8139,9
121.5274023,31.17837291,6317.350321,9
121.5349647,31.17837291,4687.823912,9
121.5425271,31.17837291,4244.78029,9
121.5500894,31.17837291,4261.902322,9
121.5576518,31.17837291,3436.817431,9
121.5652142,31.17837291,2184.194756,9
121.5727765,31.17837291,1018.05385,9
121.5803389,31.17837291,831.8420318,9
121.5879013,31.17837291,1523.375468,9
121.5954637,31.17837291,1878.986998,9
121.603026,31.17837291,1449.088237,9
121.6105884,31.17837291,996.3587657,9
121.6181508,31.17837291,1578.846171,9
121.6257132,31.17837291,3062.770699,9
121.6332755,31.17837291,2298.797988,9
121.6408379,31.17837291,1446.39725,9
121.6484003,31.17837291,570.4201003,9
121.3534677,31.18460116,12892.46256,9
121.3610301,31.18460116,17073.51302,9
121.3685925,31.18460116,17655.54904,9
121.3761548,31.18460116,15789.61951,9
121.3837172,31.18460116,15950.65282,9
121.3912796,31.18460116,16868.8919,9
121.398842,31.18460116,16572.2692,9
121.4064043,31.18460116,17829.7485,9
121.4139667,31.18460116,25720.42552,9
121.4215291,31.18460116,33907.02847,9
121.4290915,31.18460116,34730.5447,9
121.4366538,31.18460116,32994.5553,9
121.4442162,31.18460116,27005.85399,9
121.4517786,31.18460116,17252.72518,9
121.4593409,31.18460116,6600.650662,9
121.4669033,31.18460116,1778.420149,9
121.4744657,31.18460116,4237.052051,9
121.4820281,31.18460116,12222.81756,9
121.4895904,31.18460116,14365.96114,9
121.4971528,31.18460116,14604.95809,9
121.5047152,31.18460116,18209.36855,9
121.5122776,31.18460116,16894.91972,9
121.5198399,31.18460116,12017.527,9
121.5274023,31.18460116,7090.973348,9
121.5349647,31.18460116,4524.594033,9
121.5425271,31.18460116,4959.335575,9
121.5500894,31.18460116,6672.243383,9
121.5576518,31.18460116,4558.617589,9
121.5652142,31.18460116,2536.403434,9
121.5727765,31.18460116,1656.894329,9
121.5803389,31.18460116,1946.506465,9
121.5879013,31.18460116,2862.614053,9
121.5954637,31.18460116,3208.492037,9
121.603026,31.18460116,1887.335712,9
121.6105884,31.18460116,1067.933329,9
121.6181508,31.18460116,1408.053715,9
121.6257132,31.18460116,2754.095569,9
121.6332755,31.18460116,2384.120782,9
121.6408379,31.18460116,1615.488224,9
121.6484003,31.18460116,943.10281,9
121.3534677,31.1908294,6287.252196,9
121.3610301,31.1908294,11665.39498,9
121.3685925,31.1908294,13807.89466,9
121.3761548,31.1908294,14243.05083,9
121.3837172,31.1908294,15383.56721,9
121.3912796,31.1908294,17314.23238,9
121.398842,31.1908294,17578.30356,9
121.4064043,31.1908294,18496.13107,9
121.4139667,31.1908294,27154.3841,9
121.4215291,31.1908294,38342.38302,9
121.4290915,31.1908294,45740.5556,9
121.4366538,31.1908294,41843.72515,9
121.4442162,31.1908294,36376.53783,9
121.4517786,31.1908294,29995.29381,9
121.4593409,31.1908294,16607.59534,9
121.4669033,31.1908294,9288.768805,9
121.4744657,31.1908294,7928.796273,9
121.4820281,31.1908294,9392.422107,9
121.4895904,31.1908294,7947.609642,9
121.4971528,31.1908294,8561.036227,9
121.5047152,31.1908294,17133.60047,9
121.5122776,31.1908294,17719.77835,9
121.5198399,31.1908294,12453.39131,9
121.5274023,31.1908294,7962.444348,9
121.5349647,31.1908294,4403.467497,9
121.5425271,31.1908294,5052.324534,9
121.5500894,31.1908294,8162.266968,9
121.5576518,31.1908294,5592.786363,9
121.5652142,31.1908294,3767.837464,9
121.5727765,31.1908294,3455.485437,9
121.5803389,31.1908294,4218.766927,9
121.5879013,31.1908294,4878.543576,9
121.5954637,31.1908294,4811.070352,9
121.603026,31.1908294,2968.350952,9
121.6105884,31.1908294,1795.378444,9
121.6181508,31.1908294,1513.562709,9
121.6257132,31.1908294,2582.70902,9
121.6332755,31.1908294,2273.722789,9
121.6408379,31.1908294,1650.570879,9
121.6484003,31.1908294,1251.83647,9
121.3534677,31.19705765,4344.869445,9
121.3610301,31.19705765,7486.674071,9
121.3685925,31.19705765,9312.333292,9
121.3761548,31.19705765,9673.032643,9
121.3837172,31.19705765,17243.65596,9
121.3912796,31.19705765,22432.73139,9
121.398842,31.19705765,23214.39843,9
121.4064043,31.19705765,22126.10852,9
121.4139667,31.19705765,28472.46783,9
121.4215291,31.19705765,37475.22896,9
121.4290915,31.19705765,49729.20697,9
121.4366538,31.19705765,44100.17801,9
121.4442162,31.19705765,41415.88194,9
121.4517786,31.19705765,43923.77635,9
121.4593409,31.19705765,32260.7382,9
121.4669033,31.19705765,25250.79548,9
121.4744657,31.19705765,21068.12559,9
121.4820281,31.19705765,12895.84123,9
121.4895904,31.19705765,7919.351027,9
121.4971528,31.19705765,6233.916587,9
121.5047152,31.19705765,18860.62175,9
121.5122776,31.19705765,20863.21017,9
121.5198399,31.19705765,17085.56866,9
121.5274023,31.19705765,7146.556178,9
121.5349647,31.19705765,4054.267789,9
121.5425271,31.19705765,4907.754861,9
121.5500894,31.19705765,7063.4741,9
121.5576518,31.19705765,6829.262699,9
121.5652142,31.19705765,5892.188293,9
121.5727765,31.19705765,6361.511266,9
121.5803389,31.19705765,7317.89569,9
121.5879013,31.19705765,7021.915375,9
121.5954637,31.19705765,5458.713418,9
121.603026,31.19705765,5246.632731,9
121.6105884,31.19705765,3914.66441,9
121.6181508,31.19705765,3082.259215,9
121.6257132,31.19705765,3399.52121,9
121.6332755,31.19705765,2419.737853,9
121.6408379,31.19705765,1657.775763,9
121.6484003,31.19705765,1106.244753,9
121.3534677,31.2032859,6036.112133,9
121.3610301,31.2032859,8707.711899,9
121.3685925,31.2032859,10132.41884,9
121.3761548,31.2032859,11416.51681,9
121.3837172,31.2032859,19411.94055,9
121.3912796,31.2032859,30832.46581,9
121.398842,31.2032859,38664.81102,9
121.4064043,31.2032859,34256.1922,9
121.4139667,31.2032859,34714.41551,9
121.4215291,31.2032859,37940.68987,9
121.4290915,31.2032859,38080.31803,9
121.4366538,31.2032859,33697.80513,9
121.4442162,31.2032859,33385.50067,9
121.4517786,31.2032859,39499.97901,9
121.4593409,31.2032859,41329.00878,9
121.4669033,31.2032859,39039.50489,9
121.4744657,31.2032859,35390.7353,9
121.4820281,31.2032859,30353.08661,9
121.4895904,31.2032859,20014.12893,9
121.4971528,31.2032859,12087.58183,9
121.5047152,31.2032859,14958.68698,9
121.5122776,31.2032859,18075.70995,9
121.5198399,31.2032859,15641.00788,9
121.5274023,31.2032859,7088.355974,9
121.5349647,31.2032859,5275.667877,9
121.5425271,31.2032859,6744.363543,9
121.5500894,31.2032859,9097.890212,9
121.5576518,31.2032859,9944.916874,9
121.5652142,31.2032859,8528.232663,9
121.5727765,31.2032859,7156.993876,9
121.5803389,31.2032859,9843.257913,9
121.5879013,31.2032859,9270.729078,9
121.5954637,31.2032859,7218.854458,9
121.603026,31.2032859,6938.34836,9
121.6105884,31.2032859,5863.136749,9
121.6181508,31.2032859,4852.76183,9
121.6257132,31.2032859,3776.316965,9
121.6332755,31.2032859,2535.112181,9
121.6408379,31.2032859,1742.291591,9
121.6484003,31.2032859,1549.656778,9
121.3534677,31.20951415,10768.85564,9
121.3610301,31.20951415,13717.84012,9
121.3685925,31.20951415,14959.33123,9
121.3761548,31.20951415,16105.94849,9
121.3837172,31.20951415,22878.662,9
121.3912796,31.20951415,34673.82272,9
121.398842,31.20951415,44408.06865,9
121.4064043,31.20951415,39804.44289,9
121.4139667,31.20951415,38979.05914,9
121.4215291,31.20951415,38361.00044,9
121.4290915,31.20951415,31837.86952,9
121.4366538,31.20951415,27909.24855,9
121.4442162,31.20951415,29254.8355,9
121.4517786,31.20951415,36930.69053,9
121.4593409,31.20951415,44075.12273,9
121.4669033,31.20951415,45903.13663,9
121.4744657,31.20951415,45022.06839,9
121.4820281,31.20951415,44200.72466,9
121.4895904,31.20951415,31878.57381,9
121.4971528,31.20951415,17838.74122,9
121.5047152,31.20951415,12357.58345,9
121.5122776,31.20951415,13848.78364,9
121.5198399,31.20951415,13728.98734,9
121.5274023,31.20951415,8125.677584,9
121.5349647,31.20951415,6737.559766,9
121.5425271,31.20951415,7071.78471,9
121.5500894,31.20951415,8620.480655,9
121.5576518,31.20951415,9851.771951,9
121.5652142,31.20951415,8124.234487,9
121.5727765,31.20951415,5658.504257,9
121.5803389,31.20951415,8642.844608,9
121.5879013,31.20951415,8657.244261,9
121.5954637,31.20951415,7140.658718,9
121.603026,31.20951415,6546.043307,9
121.6105884,31.20951415,5941.021972,9
121.6181508,31.20951415,5550.837038,9
121.6257132,31.20951415,4490.281906,9
121.6332755,31.20951415,2904.698425,9
121.6408379,31.20951415,1866.739512,9
121.6484003,31.20951415,1762.18808,9
121.3534677,31.21574239,17895.99997,9
121.3610301,31.21574239,18480.29763,9
121.3685925,31.21574239,18663.74802,9
121.3761548,31.21574239,21285.11949,9
121.3837172,31.21574239,24233.46576,9
121.3912796,31.21574239,29033.45568,9
121.398842,31.21574239,33829.58826,9
121.4064043,31.21574239,34397.16453,9
121.4139667,31.21574239,37574.96519,9
121.4215291,31.21574239,38497.63842,9
121.4290915,31.21574239,33810.61534,9
121.4366538,31.21574239,34637.99195,9
121.4442162,31.21574239,37599.7047,9
121.4517786,31.21574239,40446.00012,9
121.4593409,31.21574239,43661.48551,9
121.4669033,31.21574239,47863.51423,9
121.4744657,31.21574239,48483.40388,9
121.4820281,31.21574239,49165.9051,9
121.4895904,31.21574239,36646.49204,9
121.4971528,31.21574239,21877.94483,9
121.5047152,31.21574239,11554.65446,9
121.5122776,31.21574239,11930.40927,9
121.5198399,31.21574239,14185.53295,9
121.5274023,31.21574239,12723.83154,9
121.5349647,31.21574239,8871.293634,9
121.5425271,31.21574239,5819.990665,9
121.5500894,31.21574239,4347.000152,9
121.5576518,31.21574239,6211.07994,9
121.5652142,31.21574239,4845.642481,9
121.5727765,31.21574239,2490.583659,9
121.5803389,31.21574239,3767.415049,9
121.5879013,31.21574239,4902.140418,9
121.5954637,31.21574239,5101.884731,9
121.603026,31.21574239,3717.663459,9
121.6105884,31.21574239,4135.063478,9
121.6181508,31.21574239,4784.937595,9
121.6257132,31.21574239,5542.767038,9
121.6332755,31.21574239,3294.72092,9
121.6408379,31.21574239,1909.015267,9
121.6484003,31.21574239,1532.999999,9
121.3534677,31.22197064,20957.24603,9
121.3610301,31.22197064,16278.50208,9
121.3685925,31.22197064,15056.38717,9
121.3761548,31.22197064,15670.10699,9
121.3837172,31.22197064,15450.62563,9
121.3912796,31.22197064,17332.13675,9
121.398842,31.22197064,19795.28523,9
121.4064043,31.22197064,27433.69871,9
121.4139667,31.22197064,32882.62913,9
121.4215291,31.22197064,35295.67004,9
121.4290915,31.22197064,34845.53157,9
121.4366538,31.22197064,44353.95024,9
121.4442162,31.22197064,49815.03346,9
121.4517786,31.22197064,45888.68983,9
121.4593409,31.22197064,43632.46048,9
121.4669033,31.22197064,52514.00218,9
121.4744657,31.22197064,63049.14256,9
121.4820281,31.22197064,50308.28557,9
121.4895904,31.22197064,36955.62124,9
121.4971528,31.22197064,24679.74568,9
121.5047152,31.22197064,12387.18388,9
121.5122776,31.22197064,13470.6231,9
121.5198399,31.22197064,17914.71096,9
121.5274023,31.22197064,20946.12461,9
121.5349647,31.22197064,13564.68824,9
121.5425271,31.22197064,7884.39731,9
121.5500894,31.22197064,6491.464376,9
121.5576518,31.22197064,5050.446736,9
121.5652142,31.22197064,3263.797043,9
121.5727765,31.22197064,1436.471278,9
121.5803389,31.22197064,1087.317797,9
121.5879013,31.22197064,1713.474127,9
121.5954637,31.22197064,2114.031645,9
121.603026,31.22197064,2358.832869,9
121.6105884,31.22197064,2412.918708,9
121.6181508,31.22197064,2974.884438,9
121.6257132,31.22197064,4099.821749,9
121.6332755,31.22197064,2867.246501,9
121.6408379,31.22197064,1837.965725,9
121.6484003,31.22197064,1547.508404,9
121.3534677,31.22819889,16791.55174,9
121.3610301,31.22819889,11893.68865,9
121.3685925,31.22819889,12684.82979,9
121.3761548,31.22819889,16490.24758,9
121.3837172,31.22819889,15117.17304,9
121.3912796,31.22819889,15976.69462,9
121.398842,31.22819889,18348.12886,9
121.4064043,31.22819889,23668.50565,9
121.4139667,31.22819889,28461.86112,9
121.4215291,31.22819889,31781.33061,9
121.4290915,31.22819889,35084.46686,9
121.4366538,31.22819889,45596.36165,9
121.4442162,31.22819889,51983.32558,9
121.4517786,31.22819889,50199.78457,9
121.4593409,31.22819889,48901.30357,9
121.4669033,31.22819889,61161.66143,9
121.4744657,31.22819889,74761.40993,9
121.4820281,31.22819889,58311.17336,9
121.4895904,31.22819889,39808.27445,9
121.4971528,31.22819889,26144.94757,9
121.5047152,31.22819889,18552.16046,9
121.5122776,31.22819889,19854.26684,9
121.5198399,31.22819889,22376.67907,9
121.5274023,31.22819889,22306.63523,9
121.5349647,31.22819889,15390.0447,9
121.5425271,31.22819889,9644.625389,9
121.5500894,31.22819889,6937.134306,9
121.5576518,31.22819889,5139.793258,9
121.5652142,31.22819889,3299.019398,9
121.5727765,31.22819889,1366.946419,9
121.5803389,31.22819889,600.3897911,9
121.5879013,31.22819889,676.9756664,9
121.5954637,31.22819889,916.953352,9
121.603026,31.22819889,1563.386498,9
121.6105884,31.22819889,1325.17411,9
121.6181508,31.22819889,1358.821437,9
